nickname,content,ip_location,create_date_time
jessepeepman,Bros opp is Genghis khan ☠️,,2023-06-20 08:03:11
r6dancesfan,Judging by the comments I think I’ll start seeing this video every once in a while…,,2023-06-20 08:39:41
notlazzzyyy,what is bro training for,,2023-06-21 05:29:45
warlord570,How did bro find me again,,2023-06-28 04:14:34
maulwdashifts,bro training for the chunin exams,,2023-06-20 07:36:52
realthe3rd,Bro keeps making the same mistakes every year ‍♂️,,2023-06-22 20:57:31
mr.caddy_,Master roshi,,2023-06-20 06:48:38
rmiguel.nb,every 6 months,,2023-06-20 06:52:28
cutie.patootie42,Bro gets it wrong every time,,2023-06-23 01:13:17
thenumber1kevin,What is bro training for ☠️,,2023-06-27 07:12:20
oscaryaguee,Master roshi,,2023-07-25 16:23:23
lakan_supreme,What kung fu style was that?,,2023-06-19 14:31:12
poorangxl,@Jomar @MyKneeGrow @jaim3 @mario mario when he gets casted for a anime live action movie,,2023-06-23 02:09:02
fares_aljabar,I see this video like every month or 2… and i still manage to fully watch it everytime,,2023-06-21 17:48:53
polo_juschillin,Swear i saw this like a year ago,,2023-06-22 02:01:28
alextheg.333,it’s back,,2023-06-22 05:40:50
thewarz0negunsmith,I wonder why do they wrap it in paper then they put it in dirt and let it dry,,2023-06-22 02:04:36
jakobahahaha,Will watch every time,,2023-06-22 02:30:44
reaver_9,grampa has it,,2023-06-22 00:27:17
g.r.u.f.f,Bros the real master roshi,,2023-07-02 13:36:58
cceesarrr,That type of training reminds me of wing chun,,2023-06-20 08:45:18
elmerrivera625,Training arc,,2023-06-22 02:48:39
alexjaya600,damm gramps,,2023-06-22 02:05:20
destroyerofhoes,who r bros ops,,2023-06-22 02:02:19
r31_mz0,The real master roshi fr fr,,2023-06-22 02:20:44
kn7092761,when he real life in street fight?,,2023-06-22 00:38:23
sir_penguin13,This video comes back to me every couple months,,2023-07-03 23:09:16
ooayden,What is blud training for,,2023-06-22 02:30:25
king.baldwin.lv,Is that a turtle  ,,2023-06-22 01:12:26
uwusixtynine,"If they don't fight each other, they are fighting to materials. HAI YAA!",,2023-06-21 14:53:34
cycythemonkey,Mortal Kombat character,,2023-06-20 08:42:47
albertico387,My boy is training to become the dragon warrior,,2023-06-22 02:19:16
vardrr0,So happy to see this video once every 4 months,,2023-06-23 18:30:58
chango345,What is bro training for ,,2023-06-23 00:22:44
blake_thespaz,shang tsung is clearly training his new apprentice,,2023-06-19 20:06:47
jakeyboycoffman,They are stuck in a time loop,,2023-06-23 03:26:40
mf_chin102,the old man looks like master roshi,,2023-06-28 17:12:01
notbluelego,can’t wait to fight off giant onion rings with this technique,,2023-06-23 03:44:14
mohmoh20508,,,2023-06-22 01:58:20
yanksyyyy,I saw this 2 years ago why are they back to huant me,,2023-06-27 02:55:51
user0928466367820198365,When will student learn ,,2023-06-23 02:18:04
vix10n,What is bro training for,,2023-06-22 23:54:22
xxxhunkymonkeyxxx,bro has 1 year before the saiyans arrive,,2023-06-22 19:17:05
suicidarteolosmatoyo,Master roshi ,,2023-06-21 17:24:52
drummerboy_kc,It’s every 2 months bro I swear,,2023-06-22 04:04:23
user0928466367820198365,When will student learn ,,2023-06-23 02:18:04
vix10n,What is bro training for,,2023-06-22 23:54:22
xxxhunkymonkeyxxx,bro has 1 year before the saiyans arrive,,2023-06-22 19:17:05
suicidarteolosmatoyo,Master roshi ,,2023-06-21 17:24:52
drummerboy_kc,It’s every 2 months bro I swear,,2023-06-22 04:04:23
tiktokcommunitieservices,kung lao is that you?,,2023-06-22 04:15:50
quandaledingle1824,What is bro training for,,2023-06-26 22:01:45
baconwarlord0,to the ones who don't know why he rejected the rice is because the bowl is chipped,,2023-06-22 03:50:00
solomon_riojas,the music hit different,,2023-06-22 04:25:19
rtardedturdle,bros training for mortal kombat,,2023-06-22 04:31:42
thebestanthony0,What is bro training for,,2023-06-23 01:25:02
swifyty,Master roshi teaching goku be like :,,2023-06-22 04:25:18
wasim44500,Whats blud training for,,2023-06-18 15:32:03
nessqwuik,krillin and master roshi,,2023-06-23 02:20:54
kakarot5462,Master roshi,,2023-06-20 08:42:40
_jamesthegoat,Who is blud training to fight☠️☠️,,2023-06-23 00:37:27
