nickname,content,ip_location,create_date_time,Avatar,Name,Likes,Comment,Date
smilktea,❤️‍❤️‍❤️‍,,2023-12-18 07:35:57,,,,,
user28660130339283,好聽,,2023-11-12 09:49:56,,,,,
gamees99,歌名是什麼,,2023-11-18 14:06:39,,,,,
jordan.ling0,好听,,2023-11-15 13:53:19,,,,,
yckwny.com,好聽,,2023-11-18 15:56:24,,,,,
terry.te,嗨,,2023-11-18 14:00:47,,,,,
bunmasashi1,小時候超喜歡這首@ℳ汣.,,2023-11-18 11:56:55,,,,,
7.1314.520,@zilonggodtiktok,,2023-12-13 14:44:11,,,,,
user9832781482826,이름..,,2023-12-03 03:22:20,,,,,
jennifetsim,@Jordan Ling,,2023-11-15 13:50:00,,,,,
weilim09,,,2023-11-19 11:43:55,,,,,
bin19741211,,,2023-11-19 11:23:01,,,,,
linglove00_1,@新手腐女,,2023-12-23 04:48:09,,,,,
user7070592963072,,,2023-11-18 03:28:32,,,,,
ellen121020,,,2023-11-19 17:57:36,,,,,
tranhoangphwngmai,@Thanh Lam,,2024-01-11 09:19:17,,,,,
lilocha989,,,2024-01-23 07:49:44,,,,,
user528809401,,,2023-11-20 15:50:16,,,,,
user7384143294033,他爸爸是李靖（安平文朱殿）,,2023-11-22 14:01:24,,,,,
zhenghan10,是大壯唱的嗎？,,2023-11-20 11:56:44,,,,,
user3331854104262,變聲期變得好,,2023-12-31 18:55:23,,,,,
sky_wolf0713,這首歌要火起來了嗎,,2023-12-03 05:24:31,,,,,
user5231842370531,吒ㄓㄚˋ,,2023-12-02 17:02:24,,,,,
288882iiiiii,懷胎三年？,,2023-11-20 14:03:19,,,,,
07tgt,配上太子gie gie... 絕了,,2023-12-04 14:21:16,,,,,
1981.27age,羅炸？,,2023-11-19 22:21:53,,,,,
userscottwill,These are going to be the future masters of Kung Fu,,2024-04-07 19:47:57,,,,,
mahamadi.compaore8,verry good work ,,2024-04-07 21:19:49,,,,,
venusinleo821,dayuum ,,2024-04-07 20:57:29,,,,,
deenlarry,Rebirth of jet lee,,2024-04-07 20:49:36,,,,,
walterjbockle,yes❤️❤️❤️,,2024-04-07 20:44:03,,,,,
oludestiny1,where dis sch dey for Nigeria....i wanna send my boy go dere...if any of my friends offend me....,,2024-04-07 19:23:26,,,,,
sportybet258,Did I hear “w’nim w’anim” .? any Ghanaian here,,2024-04-07 20:26:23,,,,,
vincent.bruno4,we our ready for dey fight  who dey with me,,2024-04-07 22:06:42,,,,,
amanyamany575,So great trining ,,2024-04-07 20:08:07,,,,,
suleimanmohamme11,wow,,2024-04-07 20:50:06,,,,,
muis6968,So in speration ,,2024-04-07 19:22:23,,,,,
masa.edu,this is lovely mate. am Eddie from Uganda,,2024-04-06 13:24:37,,,,,
amanualalemayehu7,Perfect !!,,2024-04-07 19:20:32,,,,,
userkyosiga,I loved the karate,,2024-04-07 21:28:19,,,,,
user9137084795983,wow! i I would like to train my pupils this,,2024-04-07 20:46:55,,,,,
mayoyo522,Please can I comment in English?,,2024-04-06 13:26:40,,,,,
user239281742848,wow nice ❣️,,2024-04-07 22:03:16,,,,,
jilo1969,wow wonderful,,2024-04-07 20:26:48,,,,,
user7823919581446,I like that,,2024-04-06 12:04:20,,,,,
joyceajbalevu,wow,,2024-04-07 22:34:04,,,,,
eulanefowler,oh my God love them I wish I could do that ❤️❤️,,2024-04-07 19:47:56,,,,,
docteegh,Nana A… can’t do this ,,2024-04-07 19:58:17,,,,,
danielochen338,wow,,2024-04-09 04:49:46,,,,,
thapelokabelo0,Marvelous ,,2024-04-07 20:07:17,,,,,
sundaranbu85,super,,2024-04-07 22:44:47,,,,,
dan.whisper,I LOVE THIS,,2024-04-07 19:22:01,,,,,
speakerinventor,WoW very nice ,,2024-04-06 13:46:24,,,,,
ivana.ru.0,супер молодец браво ребята,,2024-04-07 19:42:44,,,,,
tri.cy.hng.chnh.ct,Quá tuyệt,,2024-04-07 23:41:15,,,,,
user20215755240062,콩알들 정말 잘하네,,2024-04-08 00:35:55,,,,,
madejesusclemente,"Grandioso.Con disciplina ,tenacidad y organización.",,2024-04-07 23:50:03,,,,,
userleahleahh,lokhu kungangishaya ngimdala kangaka ,,2024-04-06 13:47:17,,,,,
vane06245, bravisimoooo,,2024-04-08 00:21:44,,,,,
user6037173058272,Chinese kong-fu ,,2024-04-07 22:44:09,,,,,
valentinalanonnina,impressionante ,,2024-04-07 20:44:35,,,,,
david82369,esto es en las escuelas? es de otro planeta ,,2024-04-08 00:04:52,,,,,
chimene.1995,Ma fille doit faire ça là. On ne sait jamais c'est pour la sécurité de son foyer,,2024-04-07 20:05:32,,,,,
user8854335296643,To by potřebovali naše děti,,2024-04-07 20:25:55,,,,,
marc.tchamie,"En jaune là, c'est un futur jet lee",,2024-04-06 13:47:07,,,,,
eduardobrito7178,tremenda disciplina Desde niños,,2024-04-07 20:46:57,,,,,
_2009mame,我的鼓励我爱你❤️,,2024-04-07 20:26:41,,,,,
soqobo8,kuzoshaya izngane zoban loku,,2024-04-07 22:35:36,,,,,
deus.mais288,muito ,,2024-04-08 00:00:04,,,,,
elva8754,gauuu excelente felicitaciones bendiciones,,2024-04-07 22:04:36,,,,,
user2161999624253,"Excelencia, Disciplina, Salud, Fortaleza!",,2024-04-08 00:35:37,,,,,
rojeliogonzalez50,mucha disciplina,,2024-04-07 22:07:42,,,,,
fabian.pierrefaus,dónde queda esa escuela para yo apuntarme,,2024-04-08 22:27:53,,,,,
mohammed.7310,La Chine est un autre monde,,2024-04-07 20:03:19,,,,,
honora34,mais ça c'est la couleur du drapeau de Congo Kinshasa,,2024-04-06 13:34:05,,,,,
chris_alan5,Machétté fup fup égisé,,2024-04-07 19:47:31,,,,,
_lahrm_,@Muzamil Gesey @xussein. 8 markad scholka qamdi kacuneysen waxn labarany,,2024-04-06 13:26:08,,,,,
zanfoua,vraima tu est for,,2024-04-07 21:56:43,,,,,
sinaly103,comment faire commentaire en Chine huuuuuu,,2024-04-06 11:59:28,,,,,
fortune11zerb,HUMMMM BIAMA CHINOIS ,,2024-04-08 00:21:23,,,,,
elrolandus,c'est très discipliné,,2024-04-07 20:47:01,,,,,
mwanoteghe,La vraie discipline ,,2024-04-07 22:04:19,,,,,
d.o.i,"voilà les autres , pour nous c'est la danse après tu écoute mais il a du talent",,2024-04-07 22:05:50,,,,,
ki_star228,du courage,,2024-04-07 22:13:30,,,,,
robertwassangarobert849g,une école formidable,,2024-04-07 19:48:44,,,,,
godfreymukasa21,ki kyo,,2024-04-06 12:01:46,,,,,
vadianie8,abonation,,2024-04-07 21:19:19,,,,,
nkosi689,ungalidzeleli liswane lase China,,2024-04-07 19:48:56,,,,,
user9gqnlbd85b,petite armée,,2024-04-07 22:33:18,,,,,
ermencalix0,ya es creasion de la granja ,,2024-04-07 20:22:03,,,,,
ana.sutila,Pas croyable ,,2024-04-07 21:23:56,,,,,
user3816579286583,Nawao,,2024-04-06 12:03:02,,,,,
user4490786236718,c'est toi le maître hyd ?,,2024-04-07 21:30:32,,,,,
user281653759800,Mon afrique devrait suivre cette exemples de la Chine ,,2024-04-24 16:53:17,,,,,
nomsapenny,nikhona,,2024-04-10 13:25:20,,,,,
aguillainamisaronbanda,in Africa we are busy praying God ,,2024-04-08 10:31:01,,,,,
user1384492132961,If i contest in a battle field with this boy e go beat me tire,,2024-04-07 19:42:20,,,,,
joanpatterson7,"good discipline for the mind and body, wow. ❤️",,2024-04-11 13:53:41,,,,,
user3781965802703,,,2024-04-07 19:48:16,,,,,
user4215561480211,,,2024-04-08 00:21:44,,,,,
siaalexander8,,,2024-04-08 00:01:09,,,,,
user357079371113,,,2024-04-07 21:20:13,,,,,
user7675631081917,,,2024-04-07 20:29:09,,,,,
yusuf.muhammad.bn,,,2024-04-07 20:29:01,,,,,
usoegyi185,,,2024-04-08 06:03:27,,,,,
kamanyi77,,,2024-04-07 20:04:14,,,,,
user7867915090662,❤️❤️❤️❤️,,2024-04-07 22:45:28,,,,,
mrkenmaro,❤️❤️❤️❤️,,2024-04-08 00:40:50,,,,,
muhammadtunkara47,,,2024-04-07 20:20:58,,,,,
consuelocorbin,,,2024-04-08 00:29:14,,,,,
mansurabubakar862,@Spaceman ,,2024-04-07 20:06:46,,,,,
mahirhussien715,,,2024-04-07 20:30:02,,,,,
adamuzainab5,❤️❤️❤️,,2024-04-07 21:20:16,,,,,
dame.diop.38068835,,,2024-04-06 06:21:11,,,,,
wealth.marshall,,,2024-04-06 12:02:12,,,,,
ivyany5,,,2024-04-06 12:04:06,,,,,
thamilanthuraiuthayan,,,2024-04-07 23:45:30,,,,,
sidiekun22,,,2024-04-07 21:24:29,,,,,
afghanafghan6090,,,2024-04-07 22:46:16,,,,,
user7472084985624,,,2024-04-07 21:23:35,,,,,
kontehsaikou,,,2024-04-07 23:52:54,,,,,
user5883325904778,,,2024-04-07 22:38:37,,,,,
user8149909311109,,,2024-04-07 23:59:38,,,,,
lolwa6346,,,2024-04-08 00:32:42,,,,,
cindylaithieu,,,2024-04-08 00:33:51,,,,,
serjose_carlos,,,2024-04-07 22:49:36,,,,,
user8554814436725,,,2024-04-08 00:31:11,,,,,
hamadabeni,,,2024-04-08 00:30:52,,,,,
dario8831,,,2024-04-07 22:09:57,,,,,
esthertanan763,,,2024-04-07 22:16:38,,,,,
valeryorehov,,,2024-04-07 22:08:03,,,,,
mayedib5,,,2024-04-07 22:40:23,,,,,
user0yt8nbdtev,,,2024-04-07 22:03:52,,,,,
queen_keisha_leo_09,❤️❤️❤️,,2024-04-07 23:43:59,,,,,
moussasack5,,,2024-04-07 22:09:40,,,,,
user6817105978061,,,2024-04-08 00:34:00,,,,,
cheikhseck2577,,,2024-04-06 10:52:44,,,,,
szoszike_,,,2024-04-07 20:29:12,,,,,
boodoe.winston,,,2024-04-07 23:46:35,,,,,
naralove38,,,2024-04-08 09:42:59,,,,,
diallomahamadou565gmail0,❤❤❤,,2024-04-07 20:03:20,,,,,
traorebadjan2,❤️❤️❤️,,2024-04-07 20:26:23,,,,,
chinoise790,,,2024-04-07 20:53:21,,,,,
tecnoworld362,,,2024-04-07 20:03:59,,,,,
temir261,,,2024-04-07 19:58:14,,,,,
user5314502322997,,,2024-04-07 19:49:33,,,,,
morfall448,,,2024-04-07 19:46:48,,,,,
babacarsamb22,,,2024-04-07 19:43:27,,,,,
widlyn41,,,2024-04-07 21:56:07,,,,,
user5314502322997,,,2024-04-07 19:49:33,,,,,
modibou.diakite,,,2024-04-07 21:22:50,,,,,
msqjr2,,,2024-04-07 20:29:43,,,,,
