nickname,content,ip_location,create_date_time
leexiong113,❤️❤️❤️,,2023-10-21 22:37:44
algisr121,Blue Beam,,2023-08-10 15:50:34
myla_chris, wow ,,2023-08-10 02:43:37
icelady1126,Why no pilots even seen the  before....  really know how to hide away from airplanes ,,2023-08-09 10:01:27
imalannnn_,is also on raining day that day .,,2023-08-10 19:52:18
blackbeast690,a dragon turn his human form. find it very difficult‍♂️,,2023-08-10 05:19:16
user599780627, Got it.. ,,2023-08-10 16:21:02
cypress_ad,i have tht previous app !! ,,2023-08-11 01:02:33
chitaung881,,,2023-08-09 11:06:02
jamesooiooi,hood,,2023-09-03 00:08:15
xuenick,good edit,,2023-08-21 06:22:48
user292854840743,Believe,,2023-10-23 16:42:11
user1952508384634,,,2023-08-11 13:02:05
ahri2478,,,2023-08-09 14:17:28
roybaobao,,,2023-08-09 13:06:46
tarotkingsg,,,2023-08-09 11:58:28
ongongong80,,,2023-08-09 15:15:42
suyanxijin,我小时候在海边的天空也看过，所以我相信但没看过的人也诉就不会相信,,2023-08-12 07:56:11
deeshop90,哪天的哪天我还跟外星人聊天呢,,2023-08-09 09:16:21
pixiumanhuat,该吃药了，别想太多,,2023-08-09 14:45:49
user2280313578593,画面永远是那么模糊,,2023-08-10 08:09:41
user8432668150681,高维度物种，别大惊小怪,,2023-08-09 22:34:31
user9565293038270,列空座,,2023-08-11 00:53:52
squall706,如果是真的话…哪能有可能在未来的几年里，灵气可能会复苏叻,,2023-08-12 11:42:04
2030inspo,,,2023-11-04 22:15:15
yatagarasu3690,どうやって飛んでいるんだろう？素朴な疑問…w,,2023-08-16 16:48:14
kansas0857,動畫做的不錯,,2023-08-13 15:12:49
user216587990117,哈哈哈哈,,2023-09-02 15:07:12
koco1314,看龍是屬於大氣層生物的一種,,2023-08-10 00:54:20
lta1515,想多了,,2023-08-09 12:05:40
ommunimunimahamuniyesoha,Con lại phá phong ấn rồi ,,2023-08-19 11:57:30
user4107617121870,"
平安 健康",,2023-08-10 06:01:18
xxxkxaxyxxx, 这是搞笑片吧,,2023-08-20 16:50:22
userl0cnn23ah9,似乎只有在雷雨天才會出現,,2023-08-09 13:03:01
nazeeyasudrajat,layang layang,,2023-08-21 03:33:47
sam710625,笑了,,2023-08-09 23:34:03
bruced21,在夢裡我見過變形金剛外星人神仙在天空中,,2023-08-09 20:05:00
asidun99,龙行雨，虎行风,,2023-08-10 07:07:11
jojonieh6,龍的傳人要抬頭爭光惹,,2023-08-10 12:40:53
user30525143028008,我覺得吧！龍最有可能出現的時刻應該是無雲密佈的時候,,2023-08-19 05:47:45
user21479505920637,阿弥陀佛，,,2023-08-25 08:02:58
min680628,風箏吧⋯⋯,,2023-08-12 13:03:31
haolai2060,叶公笑了：“接着忽悠”,,2023-08-12 03:47:19
leonardksw,哈哈哈哈,,2023-08-09 11:48:29
lys521zht,为啥河南出现龙的概率那么大,,2023-08-09 17:43:30
_leohsu_,我家廚房也有蒸籠,,2023-08-13 16:01:03
dyhhjhpm5wa3,龙王布雨？？,,2023-08-09 10:34:59
user3977228760877,龍好像喜歡閃電跟雨,,2023-08-09 12:37:19
dyhhjhpm5wa3,龙王布雨？？,,2023-08-09 10:34:59
user3977228760877,龍好像喜歡閃電跟雨,,2023-08-09 12:37:19
