Data,Count
广东,2006
山东,1377
江苏,1316
河南,1240
浙江,1066
河北,1049
四川,860
辽宁,758
安徽,692
湖北,657
湖南,651
北京,635
陕西,611
广西,600
山西,524
福建,506
云南,457
黑龙江,454
上海,440
吉林,398
贵州,396
江西,388
重庆,380
内蒙古,353
新疆,305
天津,263
甘肃,259
IP未知,150
宁夏,128
海南,124
青海,89
马来西亚,33
西藏,25
加拿大,16
美国,15
日本,13
韩国,6
新加坡,6
菲律宾,5
新西兰,5
阿联酋,4
澳大利亚,4
泰国,4
意大利,4
中国香港,4
俄罗斯,3
英国,3
中国台湾,3
柬埔寨,2
西班牙,2
牙买加,2
阿富汗,1
爱尔兰,1
奥地利,1
北京,1
比利时,1
德国,1
法国,1
荷兰,1
老挝,1
孟加拉国,1
缅甸,1
南非,1
瑞士,1
未知,1
伊拉克,1
中国,1
中国澳门,1
