Data,Count
广东,755
浙江,547
江苏,536
山东,511
河南,463
北京,408
四川,387
河北,380
安徽,291
湖南,260
辽宁,251
湖北,233
陕西,202
福建,201
江西,180
云南,180
上海,175
重庆,170
广西,169
山西,138
黑龙江,137
吉林,131
天津,112
贵州,103
新疆,98
内蒙古,93
甘肃,82
IP未知,47
海南,43
宁夏,39
美国,15
青海,15
韩国,8
日本,6
西藏,6
意大利,5
中国台湾,5
马来西亚,4
中国香港,4
加拿大,3
中国澳门,3
越南,3
中国,2
德国,2
英国,2
辽宁,1
MS4wLjABAAAAx49jyCT83tMw183A_Ub6UqfrguKs1iY3ZaNTbjQsJSk,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_owdJAOnAAILAeCeAZabE7HeIBKw4AgBlADBEkE.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/douyin-user-image-file_76f6b2e62899037444e8d718d282e7aa.jpeg?from=2956013662,1
1.71E+12,1
MS4wLjABAAAA_1Qm5nlrTsdEcQ4SfKZNymFPykp4H1hJ6ej4pDL9otodQcOphwSiHR85jUmvVcVy,1
新西兰,1
1,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_117090cd8a4ae59a25e96c78324d30d9.jpeg?from=2956013662,1
新加坡,1
MS4wLjABAAAAwdSWk3W7APfuyU6ky4dkKHqRlLPaqldEVGhZ0_xYfDo,1
MS4wLjABAAAASjv-AdiHkoWscy0HoZ_fYwJVCzyYHxSzcZF5CIKqZntw7bRz5og32DNC4cc-2PkO,1
24940023439,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_o8CECIMCgAmdA1DoeftxJyzC8Aw86hAcxAuPAB.jpeg?from=2956013662,1
MS4wLjABAAAA7GWxWEKCbAUZMbTIl5Hj3Yxbmg9t8mKQKTeaQ_G5qf8,1
MS4wLjABAAAAsnF4PE8a9rIabS_gldXl3Hrkma5fDTfW6-gbCtt4JRU,1
0,1
MS4wLjABAAAAuZFlG1KvFGE36kKYpcvaikWc0DQyOWFGRoVzJE9k1Uk,1
菲律宾,1
7,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_o8EdIAAA9RHnAzzl8fC5NrjoGZIAehAgDTUnC5.jpeg?from=2956013662,1
"游戏生活博主
萌新一枚
大佬求带",1
MS4wLjABAAAAaKvvOL8prpDaz2oI8zIzUG9qe6JUGimKpDQYE7jf5cA,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_8244ba1ad48daa42491c58db0e6b142e.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_9cc337c404df36b0323d6f03889249c9.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_4a44305af03ab329b79b054dd1ee5938.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_5f2b7a0cb676469dfb0dc6d0748744dc.jpeg?from=2956013662,1
MS4wLjABAAAAJnC401iNVQPA2QFAzNBIE59Wg2ZtrgE3ZfCRk9PLH4Q,1
8,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_okwPJenADQAIgECBuVbEcAJA9AUNmnDqAAbhCe.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_5efe28ed72eb41f4b7f360600dade749.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_ocmIImAAbACtAinFAkmvJJIgle9UyLrAfCDEAY.jpeg?from=2956013662,1
马耳他,1
朋友：,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_8f96879fa440514a253c4b345ac42197.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_c775a33b5bb336c86e2616f8f01f4f3f.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813c001_okAi5Ysb9mDkACATCfnaloeqAhtGgAHEAgqAIA.jpeg?from=2956013662,1
52515114573,1
巴基斯坦,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_ocAOOdEgDYA8eDN0A393tJbNAPnWACAIkA9mfk.jpeg?from=2956013662,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_27c65dee70b74453be46b6ca63d56172.jpeg?from=2956013662,1
柬埔寨,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-i-0813_osiAoDfwvEzkYIAAagAgNQhHlDIC95TADATezC.jpeg?from=2956013662,1
dyho8vwy241b,1
蒙古,1
https://p3-pc.douyinpic.com/aweme/720x720/aweme-avatar/tos-cn-avt-0015_44a329002e80f6d25a2e8fbf8a7644c6.jpeg?from=2956013662,1
MS4wLjABAAAAzXfSIgDfGakO6ZpB5E_xizvwr6EgKW6_0CP-qgsCiWk,1
