Data,Count
成都,230
杭州,186
西安,184
重庆,145
苏州,128
上海,113
广州,103
北京,99
南京,93
郑州,63
深圳,59
南宁,56
长沙,56
厦门,54
天津,51
武汉,49
洛阳·洛邑古城景区,48
昆明,47
宁波,47
洛阳,45
青岛,44
无锡,43
佛山,39
济南,36
嘉兴,34
东莞,31
绍兴,31
西安·长安十二时辰主题街区,31
北京·故宫博物院,30
北京·学清路,29
合肥,29
赣州,28
曲靖,28
福州,27
扬州,27
丽江,26
贵阳,25
温州,25
柳州,24
南昌,24
金华,23
常州,22
西安·大唐不夜城,22
杭州·西湖风景名胜区,20
芜湖,20
西安·大唐芙蓉园,20
襄阳,20
湖州,19
绵阳,19
太原,19
徐州,19
镇江,18
桂林,17
开封,17
湛江,17
淮安,16
台州,16
嘉兴·西塘古镇景区,15
乐清,15
六安,15
沈阳,15
梧州,15
许昌·曹魏古城,15
保定,14
南京·老门东,14
秦皇岛,14
信阳·成功花园,14
中山,14
成都·锦里古街,13
汉中,13
惠州,13
上海·豫园,13
苏州·拙政园,13
大连,12
邯郸,12
杭州·西溪国家湿地公园,12
乐山,12
石家庄,12
广州·车陂,11
桂林·桂林漓江景区,11
杭州·西湖国贸中心,11
济宁,11
荆州,11
九江,11
南阳,11
深圳·园博园,11
天津·天津外国语大学食堂,11
西安·有何名唐唐文化体验馆,11
襄阳·襄阳盛世唐城景区,11
长春,11
舟山,11
珠海,11
沧州,10
常熟,10
成都·十里店,10
衡阳,10
江门,10
丽水·缙云,10
泸州,10
衢州,10
宜宾,10
宜昌,10
常德,9
海口,9
嘉兴·乌镇,9
景洪,9
泉州,9
韶关,9
西昌,9
信阳,9
义乌,9
张家界,9
淄博,9
大理,8
高邮,8
广州·南国嘉园,8
哈尔滨·和兴路沿线,8
焦作,8
连云港,8
马鞍山,8
乌鲁木齐,8
西安·西安城墙景区,8
西安·西安钟楼,8
邢台,8
烟台,8
伊犁·齐成玉坊,8
长沙·缀梦记汉服体验馆,8
重庆·观音桥,8
重庆·南坪,8
安阳,7
宝鸡,7
北京·颐和园,7
成都·龙潭水乡,7
成都·新津县,7
赤峰,7
大同,7
东营,7
贵港,7
哈尔滨,7
菏泽·曹县,7
怀化,7
淮安·文庙明清商业街,7
景德镇,7
昆明·锦鲤祠,7
兰州,7
丽水,7
南京·四平苑,7
宁国,7
莆田,7
苏州·平江历史街区,7
苏州·平江路,7
宿州·灵璧,7
泰安,7
无锡·鼋头渚,7
武汉·武汉园博园,7
西安·青龙寺,7
西宁,7
玉林,7
玉溪,7
安庆,6
澳大利亚·墨尔本,6
北京·北京服装学院,6
成都·半日闲古风汉服体验馆(东郊记忆店),6
成都·漫花庄园(南段漫花庄),6
敦煌,6
福安,6
广州·余荫山房,6
杭州·钱江新城,6
杭州·西湖,6
鹤壁,6
呼和浩特,6
湖州·长兴,6
淮北,6
黄冈·英山,6
吉安,6
兰州·甘肃中医药大学附属医院,6
眉山,6
南充,6
南京·愚园,6
南宁·南宁园博园,6
南宁·青秀山风景区,6
三明·大田屏山·仙居山樱花园,6
朔州,6
宿迁,6
唐山,6
潍坊,6
武汉·东湖磨山梅园,6
西安·诗经里,6
西安·长安十二时辰唐传统文化旅游街区,6
咸阳,6
许昌,6
延吉,6
长沙·长沙县,6
北京·木兮有枝共享汉服体验店,5
北京·十步汉飏汉服自拍写真馆(三里屯店),5
北京·紫竹院公园,5
郴州,5
慈溪,5
大理·大理古城,5
福州·东方水都,5
广州·广州文化馆新馆,5
杭州·杭州植物园,5
杭州·钱王祠,5
淮南,5
黄山,5
济南·山东博物馆新馆,5
介休,5
开封·清明上河园,5
南京·古鸡鸣寺,5
南京·莫愁湖公园,5
南通,5
盘锦,5
濮阳,5
普宁,5
钦州·灵山,5
日本,5
三亚,5
商丘,5
上海·顾村公园,5
上海·汉仪华裳汉服体验工作室,5
上海·上海迪士尼度假区,5
深圳·甘坑古镇,5
太仓,5
滕州,5
天水,5
铜陵,5
温州·苍南,5
西班牙·巴塞罗那,5
宣城,5
宣威,5
银川,5
永州,5
张家口,5
张掖,5
重庆·重庆园博园,5
重庆·重庆照母山植物园,5
株洲,5
蚌埠,4
保山,4
北京·中国国家博物馆,4
成都·红牌楼广场,4
成都·香槟广场,4
池州,4
滁州,4
达州,4
大理市,4
大庆,4
德州,4
东莞·东莞观音山,4
都江堰,4
鄂尔多斯,4
广州·华南国家植物园,4
杭州·太子湾公园,4
杭州·云栖竹径,4
河源,4
红河·建水,4
湖州·德清,4
黄石,4
济宁·邹城,4
江油,4
金华·永康,4
靖江,4
开封·河南大学,4
开远,4
阆中,4
丽江·丽江古城,4
聊城,4
梅州,4
南充·仪陇,4
南京·南京博物院,4
南平,4
南阳·经纬国际广场,4
宁德·新城中学,4
平顶山,4
黔南·长顺,4
钦州,4
青岛·青岛海精灵儿童摄影工作室,4
上海·广富林文化遗址,4
尚志,4
沈阳·碧桂园银河城钻石墅,4
嵊州,4
苏州·苏州市狮子林,4
遂宁,4
铜仁,4
渭南,4
温州·永嘉书院,4
西安·大唐芙蓉汉服体验店,4
西安·胡家庙,4
西安·长安路,4
西安·长安十二时辰,4
忻州·忻州古城,4
新余,4
许昌·浪涛古风写真馆,4
盐城,4
宜春,4
余姚,4
枣庄,4
长沙·橘子洲风景区,4
昭通,4
郑州·建业·华谊兄弟电影小镇,4
重庆·九街有个单位,4
重庆·五里店,4
重庆·重庆南山植物园,4
株洲·王府井百货(株洲店),4
安康,3
白银,3
百色,3
包头,3
保定·京南一品,3
保定·雄县,3
北海,3
北京·北海公园,3
北京·北京二十二院街艺术区,3
北京·北京华侨大厦睿世酒店,3
北京·北京园博园,3
北京·大观园,3
北京·府西园小区,3
北京·马驹桥,3
北京·玉渊潭公园,3
滨州·博兴,3
沧州·吴桥,3
潮州,3
成都·成都玛奇朵婚纱摄影,3
成都·成都市植物园,3
成都·杜甫草堂,3
成都·高新区,3
成都·光明城市,3
成都·交大花园武侯小区,3
成都·青白江,3
成都·青龙场,3
成都·青羊宫,3
