Data,Count
广东,7203
浙江,2936
江苏,2931
四川,2831
山东,2767
河南,2567
广西,2516
安徽,2048
湖南,1853
河北,1794
湖北,1777
福建,1605
云南,1590
北京,1310
江西,1283
贵州,1278
重庆,1261
陕西,1137
辽宁,1018
上海,899
山西,785
黑龙江,674
吉林,550
海南,471
内蒙古,462
新疆,460
天津,447
甘肃,424
IP未知,356
宁夏,200
青海,99
西藏,80
马来西亚,42
日本,26
美国,23
韩国,21
新加坡,18
中国,15
中国台湾,14
中国澳门,12
意大利,12
英国,10
澳大利亚,10
中国香港,7
泰国,7
菲律宾,7
越南,6
西班牙,6
缅甸,5
加拿大,5
柬埔寨,4
阿联酋,4
老挝,3
匈牙利,2
墨西哥,2
莫桑比克,2
罗马尼亚,2
多米尼加,2
德国,2
伊拉克,1
新西兰,1
委内瑞拉,1
土耳其,1
塞内加尔,1
萨摩亚,1
瑞典,1
孟加拉国,1
荷兰,1
法国,1
俄罗斯,1
伯利兹,1
白罗斯,1
白俄罗斯,1
巴西,1
巴拿马,1
巴林,1
奥地利,1
安哥拉,1
埃及,1
阿根廷,1
ip_location,1
