Data,Count
2020年1月,1
2024年4月,6
2024年3月,4
2024年2月,5
2024年1月,10
2023年12月,12
2023年11月,21
2023年10月,11
2023年9月,7
2023年8月,6
2023年7月,14
2023年6月,6
2023年5月,10
2023年4月,5
2023年3月,6
2023年2月,10
2023年1月,21
2022年12月,19
2022年11月,29
2022年10月,92
2022年9月,8
2022年8月,7
2022年7月,15
2022年6月,22
2022年5月,17
2022年4月,6
2022年3月,4
2022年2月,7
2022年1月,2
2021年12月,1
2021年11月,3
2021年10月,4
2021年9月,5
2021年8月,9
2021年7月,11
2021年6月,19
2021年5月,19
2021年4月,14
2021年3月,16
2021年2月,7
2021年1月,20
2020年12月,14
2020年11月,13
2020年10月,23
2020年9月,19
2020年8月,24
2020年7月,33
2020年6月,15
2020年5月,21
2020年4月,30
